appliance	가전제품
audience	청중
brick	벽돌
bulletinboard	게시판
cabinet	캐비닛
cardboardbox	골판지상자
cargo	화물
compartment	구획
container	용기
crate	상자
cubicle	큐비클
curb	연석
intersection	교차로
laddeer	사다리
lamppost	가로등
lawn	잔디
lawnmover	잔디옮기는기계
merchandise	상품
patio	안뜰
pedestrian	보행자
pier	부두
plate	접시
post	기둥
pottedplants	분재
pottery	도자기
railing	난간
rug	양탄자
shelf	선반
shore	해안
utensil	도구
vehicle	차량
vendor	판매자
walkway	보도
wheelbarrow	수레
bemounted	장착
beproppedupagainst	기대어세워지다
bescattered	흩어지다
bespread	펼쳐지다
bestacked	쌓이다
bendover	구부리다
castashadow	그림자를드리우다
gazeat	쳐다보다
glanceat	한눈에보다
hover	맴돌다
kneeldown	무릎을꿇다
lean	기대다
pack	꾸리다
pave	포장하다
rake	갈퀴질하다
stroll	산책하다
trim	정리하다
alongside	옆에
beneath	아래에
partially	부분적으로
sidebyside	나란히측면
slanted	기울어진
